排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
19,耗时1天，史上最骚的“自闭”游戏，我通关了！#百大篇,1820028,126.6万,东尼ookii,//space.bilibili.com/285499073,//www.bilibili.com/video/BV19p4y1W7tm,9808
20,【说唱】罗翔×毕导×圣代——做题超人！,1817201,82.5万,好奇星人知识酱,//space.bilibili.com/517491339,//www.bilibili.com/video/BV1bV411q7Tb,3060
21,假 如 网 红 统 治 世 界,1788260,121.5万,CmoStar,//space.bilibili.com/430510309,//www.bilibili.com/video/BV1Bz4y1S7Uz,4558
22,《原神》互动视频- 偶像的治愈魔法,1762425,68.7万,原神,//space.bilibili.com/401742377,//www.bilibili.com/video/BV1jy4y117H2,8494
23,《原神》甘雨手书「游离在人海世间的孤独」,1754241,59.8万,暗猫の祝福,//space.bilibili.com/888465,//www.bilibili.com/video/BV18z4y1S77y,1287
24,“一键三连”！王冰冰喊你来关注央视新闻～,1700048,203.8万,央视新闻,//space.bilibili.com/456664753,//www.bilibili.com/video/BV1YA411H7LM,2207
25,【毕导】和！罗！翔！老！师！一！起！rap！,1656216,86.2万,毕导THU,//space.bilibili.com/254463269,//www.bilibili.com/video/BV1xA411p7eq,1.2万
26,老夫老妻的日常（第十期）,1640271,87.3万,啊吗粽,//space.bilibili.com/7552204,//www.bilibili.com/video/BV1CK4y1H76P,8533
27,【亮记生物鉴定】网络热传生物鉴定23,1638322,163.6万,无穷小亮的科普日常,//space.bilibili.com/14804670,//www.bilibili.com/video/BV1MA411p7NB,8864
28,是男人就下一百层30年前的隐藏剧情！ 我找到了仅在杂志上出现一次的线索,1597991,48.1万,假期贩子,//space.bilibili.com/1818902,//www.bilibili.com/video/BV1cv4y1f7uM,3500
29,触目惊心的人为生态灾难！万亩沙漠防护林被毁，敦煌防沙最后屏障几近失守,1574584,93.9万,蓝色咖啡2019,//space.bilibili.com/471021972,//www.bilibili.com/video/BV12z4y1S7Y9,5447
30,那一年，我们失去了冰冰,1554103,179.1万,吟游诗人猩猩哥,//space.bilibili.com/227062495,//www.bilibili.com/video/BV1R54y1W7r2,5491
31,免费必玩｜25款手游｜10年手游老用户的压箱底私藏,1542133,85.2万,陈吃饭_,//space.bilibili.com/75912367,//www.bilibili.com/video/BV1Yh41127iV,9628
32,兰州早餐：“碳水套娃！”我打赌你没吃过！,1522265,114.7万,盗月社食遇记,//space.bilibili.com/99157282,//www.bilibili.com/video/BV1VA411p7Fj,1.4万
33,你那叫说唱厂牌吗？（英文版）,1518482,116.6万,A路人,//space.bilibili.com/391679,//www.bilibili.com/video/BV1M54y1s7Jq,1005
