排名,标题,综合分数,播放量,Up主,个人空间,视频地址,弹幕
88,台词漏洞百出！打戏笑掉大牙！爆笑吐槽《有翡》第4期,976722,52.9万,开心嘴炮,//space.bilibili.com/203337614,//www.bilibili.com/video/BV1fV41147Gb,6051
89,【猿】显卡价格？别问，问就是预测不了。,973401,44.5万,远古时代装机猿,//space.bilibili.com/35359510,//www.bilibili.com/video/BV1XK4y1p7pn,2.6万
90,【艾叔】粤港澳大湾区4000万豪宅，明珠湾壹号头等舱的视野是什么样,951918,50.7万,小艾大叔,//space.bilibili.com/470156882,//www.bilibili.com/video/BV1Zy4y1e7Hk,3358
91,徐老师来巡山299：不当人打法，永恩被控到死。,942805,60.3万,靠脸吃饭的徐大王,//space.bilibili.com/16794231,//www.bilibili.com/video/BV1jr4y1T7S6,2433
92,芜 湖 起 飞,928852,56.3万,LexBurner,//space.bilibili.com/777536,//www.bilibili.com/video/BV1ar4y1T7kv,2225
93,卧龙凤雏竟齐聚于此,926252,94.2万,十万个冷沙雕,//space.bilibili.com/473455922,//www.bilibili.com/video/BV1G64y1Z7HM,245
94,【日本儿童歌谣比赛】2岁霓虹幼崽唱歌太萌了,923811,64.7万,TOOOOのら猫,//space.bilibili.com/16000082,//www.bilibili.com/video/BV1yK4y1576N,1005
95,记忆重现，UP主罚（shan）站（guang）时刻！【百大UP主颁奖】,922765,119万,哔哩哔哩UP主执事,//space.bilibili.com/235555226,//www.bilibili.com/video/BV1Sv411x7Da,1502
96,【逸语道破】彭斯“蓝”了，建制派“割席”，示威者“反装忠”，前途未卜的懂王与美利坚,908615,58.3万,沈逸老师,//space.bilibili.com/648113003,//www.bilibili.com/video/BV1WV411t7u7,8261
97,一年交往30多个男人捞一亿，她就长封面这样,906562,77万,米茶心理,//space.bilibili.com/526626097,//www.bilibili.com/video/BV13T4y1N7vi,3534
98,【罗云熙的Reaction】今天我来投币啦~,900611,27.1万,罗云熙,//space.bilibili.com/82573406,//www.bilibili.com/video/BV1aA411W7EA,1.1万
99,手机：我这才叫飞行模式          【自制】C919客机，送手机上天,893475,44.6万,魔界造物,//space.bilibili.com/74529609,//www.bilibili.com/video/BV1Vf4y1y7un,1584
100,一笔,884527,64.2万,卧龙寺,//space.bilibili.com/258457966,//www.bilibili.com/video/BV1tz4y1z7WV,1102
